hora,event_id,time_A,empate,time_B,under,over,resultado_1_0,resultado_2_0,resultado_2_1,resultado_0_0,resultado_1_1,resultado_2_2,resultado_0_1,resultado_0_2,resultado_1_2,visitado_empate,visitado_visitante,empate_visitante,total_0,total_1,total_2,total_3,total_4
14:55,8834462,2.2,3.0,2.87,1.57,2.37,6.5,9.0,8.0,8.0,5.5,15.0,13.0,10.0,10.0,1.3,1.28,1.53,10.0,3.75,3.0,3.6,5.5
15:34,8834475,1.44,3.5,7.0,1.44,2.75,4.33,5.0,8.5,12.0,7.0,29.0,41.0,10.0,23.0,1.04,1.22,2.4,8.0,3.5,3.0,4.0,7.0
16:10,8834487,4.0,3.2,1.8,1.5,2.6,9.0,19.0,13.0,5.5,6.0,17.0,7.0,10.0,8.0,1.8,1.25,1.16,8.5,3.6,3.0,3.75,6.5
16:13,8834488,2.0,3.0,3.2,1.53,2.5,6.0,8.5,8.0,8.0,5.5,15.0,15.0,10.0,11.0,1.25,1.28,1.61,9.0,3.75,3.0,3.75,6.0
16:16,8834489,1.44,3.75,6.5,1.57,2.37,5.0,5.5,7.5,13.0,7.0,21.0,34.0,10.0,21.0,1.05,1.2,2.4,10.0,3.75,3.0,3.6,5.5
16:19,8834490,2.4,3.0,2.6,1.53,2.5,6.5,11.0,9.0,7.0,5.5,15.0,12.0,10.0,9.0,1.36,1.28,1.44,9.0,3.75,3.0,3.75,6.0
16:22,8834491,3.2,3.0,2.0,1.53,2.5,8.0,15.0,11.0,6.0,5.5,15.0,8.5,10.0,8.0,1.61,1.28,1.25,9.0,3.75,3.0,3.75,6.0
16:25,8834492,1.5,3.5,5.5,1.53,2.4,5.0,5.5,7.5,12.0,6.5,21.0,29.0,10.0,17.0,1.08,1.22,2.2,9.0,3.75,3.0,3.6,6.0
16:28,8834493,1.9,3.0,3.75,1.44,2.75,5.0,7.5,8.5,8.0,6.0,19.0,19.0,10.0,13.0,1.2,1.28,1.72,8.0,3.5,3.0,4.0,7.0
16:31,8834494,2.62,3.0,2.37,1.61,2.25,7.5,12.0,9.0,7.0,5.5,13.0,10.0,10.0,8.5,1.44,1.28,1.36,10.0,4.0,3.0,3.5,5.5
16:34,8834495,2.5,2.87,2.62,1.44,2.8,6.0,11.0,10.0,6.5,5.5,17.0,12.0,10.0,10.0,1.36,1.3,1.4,7.5,3.4,3.0,4.0,7.0
16:37,8834496,2.5,3.0,2.5,1.53,2.4,7.0,11.0,9.0,7.0,5.5,15.0,11.0,10.0,9.0,1.4,1.28,1.4,9.0,3.75,3.0,3.6,6.0
16:40,8834497,2.75,3.0,2.25,1.53,2.5,7.0,13.0,10.0,6.5,5.5,15.0,10.0,10.0,8.5,1.5,1.28,1.33,9.0,3.75,3.0,3.75,6.0
16:43,8834498,1.61,3.25,4.5,1.5,2.6,5.0,6.0,8.0,10.0,6.0,19.0,26.0,10.0,15.0,1.12,1.25,2.0,8.5,3.6,3.0,3.75,6.5
16:46,8834499,3.75,3.2,1.8,1.53,2.4,9.0,19.0,12.0,5.5,6.0,17.0,7.0,10.0,7.5,1.8,1.25,1.18,9.0,3.75,3.0,3.6,6.0
16:49,8834500,3.0,3.0,2.2,1.53,2.5,7.5,13.0,10.0,6.0,5.5,15.0,9.0,10.0,8.5,1.53,1.28,1.3,9.0,3.75,3.0,3.75,6.0
16:52,8834501,3.6,3.0,1.9,1.5,2.6,8.5,17.0,12.0,5.5,6.0,17.0,7.5,10.0,8.0,1.72,1.28,1.2,8.5,3.6,3.0,3.75,6.5
16:55,8834502,1.66,3.4,4.5,1.61,2.25,5.5,6.5,7.5,11.0,6.0,17.0,23.0,10.0,13.0,1.14,1.22,2.0,10.0,4.0,3.0,3.5,5.5
16:58,8834503,2.5,3.2,2.4,1.66,2.2,8.0,12.0,8.5,7.5,5.5,12.0,11.0,10.0,8.0,1.44,1.25,1.4,12.0,4.33,3.0,3.4,5.0
